error_message,recommended_action
SyntaxError,Check for missing colons (:) or mismatched parentheses and quotes.
IndentationError,Ensure consistent use of 4 spaces per level; do not mix tabs and spaces.
NameError,Verify the variable name is spelled correctly and was defined before being used.
TypeError,Ensure you are not mixing incompatible types (e.g. adding a string to an integer).
ValueError,Validate that the data content is appropriate for the function (e.g. non-numeric strings in int()).
IndexError,Check that the list index exists; remember that Python indexing starts at 0.
KeyError,Verify the key exists in the dictionary or use the .get() method for a safe default.
AttributeError,Confirm the object actually has the method or attribute you are trying to call.
ModuleNotFoundError,Use 'pip install' to install the missing package in your current environment.
FileNotFoundError,Check the file path for typos and use absolute paths if the script moves.
ZeroDivisionError,Add a check to ensure the denominator is not zero before performing division.
RecursionError,Ensure your recursive function has a base case to prevent an infinite loop.
ImportError,Check if the module is installed or if there is a circular dependency.
File too large: too many records or columns,"Split the file into smaller chunks or increase the memory limit of the importing application."
Map the remaining required fields to proceed,"Review the list of mandatory attributes and ensure all necessary columns are correctly mapped in the CSV."
Incomplete final line warning,"Ensure the last line of your CSV file ends with a linefeed (\n) or carriage return (\r\n) character."
Disallowed characters in column {column},"Find and strip non-printing or POSIX non-compliant characters from your data using a text editor like [Notepad++](url)."
403 Forbidden: client error calling HeadObject,"Verify that the AWS CLI or user has the correct IAM permissions for the S3 bucket or object."
400 Bad Request: missing right syntax,"Check for unescaped special characters in the request string or CSV data and validate syntax."
Could not generate CSV file,"Check if the temporary storage directory exists and has sufficient write permissions."
The specified action can be called only once,"Verify user permissions; some roles cannot be inherited through teams and must be assigned directly."
XML isn't in correct format (0xC0010009),"Fix the mapping in the data project or ensure the CSV file contains all expected columns defined in the schema."
Literal does not match format string (ORA-01861),"Check that the date or number format in the CSV matches the expected format string in the database."
CSV delimiter appearing in data column,"Wrap data values containing commas in quotation marks or use a different delimiter like a pipe (|) or semicolon (;)."
Unicode conversion/Encoding issues,"Save the file as UTF-8 encoding to ensure all special characters are supported and readable across systems."
Storage integration link broken,"Recreate the association between the external stage and the storage integration if the latter was recreated."
CSV format error: Column count mismatch,"Check for stray commas in your data and ensure every row has the same number of delimiters as the header."
